no	aile	gri	satir	baslik
24	F03		1062	Bir doğrulamanın "çalıştığı" sanılması, girdinin ona hiç ULAŞMAMASINDAN gelebi
25	F05		1271	"Güvenlik" gerekçeleri en az sorgulananlardır (ZORUNLU)
26	F10		1310	KARAR VERİLDİ ≠ KARAR KODA İNDİ (ZORUNLU)
27	F02		1338	HÜCRE KÜMESİ ile ROTA KÜMELERİ BİREBİR DEĞİLSE DALGA DUR'A DÜŞER (ZORUNLU)
28	F13		1366	İÇERİK TAŞINIR, STATÜ ÇEVREDEN GELİR (ZORUNLU — belge taşıma)
29	F05		1413	Bir SIRA şartı, AYRILABİLİRLİK şartı İÇERMEZ (ZORUNLU)
30	F02		1467	Bir DUR listesi, değişikliğin geçtiği HER SINIRI saymalıdır (ZORUNLU)
31	F05		1512	Bir kuralın FAZ TABLOSU varsa, YÜRÜRLÜKTEKİ satır okunur (ZORUNLU)
32	F01		1539	Karşılanamayan bir ÖLÇÜT revize edilir — uydurma veriyle karşılanmaz (ZORUNLU)
33	F10		1562	Bir şartın SAĞLAYICISI yoksa, şart bir erteleme değil bir KİLİTTİR (ZORUNLU)
34	F02		1599	Bir KABUL LİSTESİ, değişikliğin BOZABİLECEĞİNİ de saymalıdır (ZORUNLU)
35	F10		1630	Bilinen eksiklik TODO ile değil, TASK ile kaydedilir (ZORUNLU)
36	F10		1649	Bir Z-KAYDINI kapatan tur, TÜREV BELGELERİ de yazar (ZORUNLU)
37	F05		1680	MEKANİK olarak türetilmiş bir değer, GEREKÇE değildir (ZORUNLU)
38	F01		1719	Bir TOPLAMIN azalması, bir SINIFIN girmediğinin kanıtı değildir (ZORUNLU)
39	F01		1743	Bir yazma işleminin DÖNÜŞ DEĞERİ, yazdığının kanıtı değildir (ZORUNLU)
40	F01		1762	Boş gelen bir çıktı, BEKLENEN içerikle doldurulamaz (ZORUNLU)
41	F01		1791	⇒ VE ÖLÇÜM TARAFINDA AYNI ŞEKİL: eşitlik, VARLIĞIN kanıtı değildir (ZORUNLU)
42	F01		1820	KANIT RENGİN KENDİSİ DEĞİL, RENGİN SEBEBİDİR (ZORUNLU)
43	F01		1856	EN İYİ KONTROL, BAĞIMSIZ BİR KAYITLA ÇAKIŞTIRMADIR (ZORUNLU)
44	F01		1886	Elle yazılmış üye-sayısı: ölçülmüş oran DOKUZDA DOKUZ (ZORUNLU)
45	F01		1904	Dokümanda sayı yazma — niteliksel ayırt edici yaz (ZORUNLU)
46	F03		1920	Beklenen YÖNE yanılan bir hata, ters yöne yanılandan TEHLİKELİDİR (ZORUNLU)
47	F06		1955	Test dosyası TASK NUMARASI değil SÖZLEŞME ADI taşır (ZORUNLU)
48	F06		1972	Bir AD, koruduğu SINIFTAN dar olabilir (ZORUNLU)
49	F15		2002	Bir DÜZELTME, düzelttiği SINIFIN yeni bir vakasını üretebilir (ZORUNLU)
50	F15		2061	Bir DÜZELTME de bir iddiadır (ZORUNLU)
51	F15		2093	Bir düzeltmenin iki ekseni vardır: HEDEFİ ve YÖNÜ (ZORUNLU)
52	F14		2129	Ölçüm ortamının bayatlığı da bir maskeleme sınıfıdır (ZORUNLU)
53	F14		2144	BAYAT SÜREÇ BİRİKİR — ve ölçümü ARALIKLI bozar (ZORUNLU)
54	F03		2179	Testler bir ŞARTNAMEDİR — kod silinse bile (ZORUNLU, ve bir kurtarmayla ölçüld
55	F07		2194	Bir şema kararını geri alırken entity metadata'sını da geri al (ZORUNLU)
56	F03		2217	Fixture, ayırt etmek istediği iki tarafta FARKLI değer taşımalı (ZORUNLU)
57	F13		2233	Port ederken: davranış taşınır, onu DOĞRU KILAN BAĞLAM taşınmaz (ZORUNLU)
58	F05		2264	Bir ÖLÇÜMÜN geçerliliği de koşullarına bağlıdır — koşulu ölçümle birlikte yaz 
59	F15		2299	Bir CACHE İNVALİDASYONU yazıldığında çağıranı AYNI TURDA bağlanır (ZORUNLU)
60	F08		2339	`new Date(kullanıcıGirdisi)` — beş sessiz hata biçimi, hepsi ölçüldü (ZORUNLU)
61	F08		2362	Sessiz VARSAYILAN ile sessiz FALLBACK aynı şey değildir (ZORUNLU — §2.5'in sın
62	F07		2403	Assert taşıyan migration ÜÇ durumu ayırt etmeli (ZORUNLU)
63	F10		2471	Bağlayıcı kaynağa ATIF vermek, METNİNİ uydurmak değildir (ZORUNLU)
64	F01		2488	Hiçbir şeyi ELEMEYEN bir vaka, kural gerekçesi olamaz (ZORUNLU)
65	F01		2505	DURAĞAN yüzeyler bir HİPOTEZ oluşturur, bir BULGU değil (ZORUNLU)
66	F07		2563	Köken imzası taşımayan bir idempotency anahtarı, PROVENANCE'ı cevapsız bırakır
67	F03		2585	Bir pin, ÜRETİMİN OKUDUĞU kaynağı ölçmüyorsa pin değildir (ZORUNLU)
68	F08		2631	Bir DÖNÜŞÜM boru hattı, YOKLUĞU bir DEĞERE çevirebilir (ZORUNLU)
69	F15		2676	⛔ VE BİR ÖRTÜ KALDIRILIRKEN ALTINDAKİ AYNI COMMIT'TE KAPANIR (ZORUNLU)
70	F03		2701	Bir DÜZELTME PİNİ yalnız STATÜ değil, DEĞER doğrular (ZORUNLU)
71	F03		2739	PİN KÖR-NOKTA AİLESİ — dört tür, hepsi ÖLÇÜLDÜ (ZORUNLU)
72	F03		2817	⇒ VE ÇÖZÜMÜN BİÇİMİ: DEĞER-pini değil, İLİŞKİ-pini (ZORUNLU)
73	F07		2837	Bir rota-GENİŞLEMESİ ne zaman BİLGİ-AÇILIMI sayılmaz (ZORUNLU — çift ölçüm)
74	F12		2866	`Kayıt taraması`nın KANONİK komutu `git log -L`'dir (ZORUNLU)
75	F05		2884	⛔ BİR İSTİSNA KALKTIĞINDA, ONA YASLANAN KARARLAR YENİDEN OKUNUR (ZORUNLU)
76	F05		2909	Bir rotanın ÖLÜMÜ, komşularının UNION-GEREKÇESİNİ de öldürebilir (ZORUNLU)
77	F01		2930	İMKÂNSIZLIK KONTROLÜ — tuhaflık-dedektörü ailesinin EN UCUZ üyesi (ZORUNLU)
78	F04		2964	İSTİSNA LİSTELERİ DE BİRER KAPIDIR — ve kapının kendisi kadar disiplin ister (
79	F05		2979	⇒ VE BİR İSTİSNA GİRİŞİ **TAŞIYICI OLDUĞU ÖLÇÜLEREK** YAZILIR (ZORUNLU)
80	F07		3019	`Yetkiler DB'de mi, kodda mı?` — cevap İKİLİ (ZORUNLU)
81	F04		3035	⛔ GÖSTERİP GEÇEN KAPI — kapı kör-nokta ailesinin EN SİNSİ üyesi (ZORUNLU)
82	F00		3081	Kural yazan tur, kuralın KENDİ ÜSTÜNDEKİ ilk mutasyonunu da koşar (ZORUNLU)
83	F12		3102	⚠️ TIRNAKSIZ `$F` TUZAĞI TEKRARLADI — ve bu kez SAHTE YEŞİL ÜRETTİ (ZORUNLU)
84	F01		3142	*"ZATEN"* BİR ÖLÇÜM EMRİDİR, MUAFİYET DEĞİL (ZORUNLU)
85	F01		3161	Bir MUTASYON da bir ÖLÇÜMDÜR — etkisi kanıtlanmamış mutasyon hiçbir şeyin kanı
86	F03		3189	KÖR-NOKTA TÜRLERİ MUTASYON TÜRÜNE GÖRE AYRIŞIR (ZORUNLU — bir daraltma)
87	F02		3229	⛔ KARAR-GİRDİSİ YÜZEYLERİ, KARARINDAN **ÖNCE** TARANIR (ZORUNLU — beşinci satı
88	F00		3253	Bir kapı ağının KENDİ SAĞLIĞINI ölçmesi (ZORUNLU — `G5`'in dersi PROAKTİF)
89	F01		3275	İki kanıt ÇATIŞTIĞINDA: **PROVENANCE KAZANIR** (ZORUNLU)
90	F02		3340	Bir kapının EVRENİ, koruduğu şeyle BİRLİKTE BÜYÜMÜYORSA kapı küçülür (ZORUNLU)
91	F04		3410	RATCHET AİLESİNİN TAMAMLAYICI YASASI — gerileme ∧ donma (ZORUNLU)
92	F05		3457	Bir HÜKÜM, dayandığı ÖLÇÜMÜN TAZE OLDUĞU EVRENDE yaşar (ZORUNLU)
93	F02		3521	BİR KAPININ EVREN-KAYNAĞI: **türetilmiş > taranmış > yazılmış** (ZORUNLU)
94	F10		3571	Bir listeyi **SÖZLEŞME** biçiminde yazmak, listenin söylemediğini söyletir (ZO
95	F04		3618	MUTASYON EŞDEĞERLİĞİ: **ÜRÜN için eşdeğer ≠ KAPI için eşdeğer** (ZORUNLU)
96	F01		3667	POZİTİF KONTROLÜN DÖRDÜNCÜ NESLİ: **müdahale DOĞRU EKSENDE mi?** (ZORUNLU)
97	F07		3698	Her YETKİ-GENİŞLEMESİ, arkasındaki yüzeyin İLK GERÇEK TRAFİĞİDİR (ZORUNLU)
98	F07		3726	SINIF-SEVİYESİ dekoratör, dosyadaki HER rotanın sözleşmesini değiştirir (ZORUN
99	F02		3760	KAPSAM-BEYANI ≠ KAPSAM-KANITI (ZORUNLU)
100	F04		3788	BİR KAPININ ÜÇ MEŞRU ÇIKTISI VARDIR (ZORUNLU — kapı disiplininin kapanış taşı)
101	F10		3824	BİR UYARI HATIRLANMAK ZORUNDADIR; BİR LİSTE MADDESİ DEĞİLDİR (ZORUNLU)
102	F03		3857	`VERİNİN YOKLUĞU ÖRTER`in ALT-TÜRÜ: **KULLANIMIN yokluğu, SÖZLEŞME KIRIĞINI ör
103	F01		3893	`ÖLÇÜLMEDİ` BİR DURAK DEĞİL, **GEREKÇELİ BİR DURAKTIR** (ZORUNLU)
104	F09		3933	KAPSAM GENİŞLETME **YETKİSİ YOKTUR** — TEKLİF + ÖLÇÜM + `DUR` VARDIR (ZORUNLU)
105	F10		3958	KAPANMIŞ BİR TASK'IN ANLATI PARANTEZİ, BİR TASK DEĞİLDİR (ZORUNLU)
106	F01		3983	KUSURU **ÖLDÜREN** TURDA REPRO ARTEFAKTI **DAHA** GEREKLİDİR (ZORUNLU)
107	F13		4009	DEVİR-TESLİM YASASI ÜÇ ÖLÇEKTE ÇALIŞIR: **oturum · thread · AJAN** (ZORUNLU)
108	F01		4037	BİR SAĞLAYICI İDDİASI, **ALAN ALAN** ÖLÇÜLÜR (ZORUNLU)
109	F14		4063	CANLI ORTAM, KURULUM BETİĞİNDEN **ÜRETİLEBİLMELİDİR** (ZORUNLU)
110	F14		4091	⛔ VE AYNA-YARISI: **BETİK DE CANLIYI TARİF ETMELİDİR** (ZORUNLU)
111	F01		4134	DIŞ GİRDİ BİR **GİRDİDİR**, TESCİL BİR **KANIT DEĞİLDİR** (ZORUNLU)
112	F05		4170	BİR `should-fix`'i ERTELEMEK, ONU BİR SONRAKİ DALGANIN **KÖR NOKTASI** YAPABİL
113	F04		4205	CANLILIK PROBU, **ASIL KONTROLÜN YÜZEYİNDE** KOŞMALIDIR (ZORUNLU)
114	F05		4234	BİR HÜKMÜN *"GERİ-ALMA CAZİBESİ"* ÖNCEDEN ADLANDIRILIR (ZORUNLU)
115	F07		4259	KISITLARIN YANINA GEREKÇE YAZMAK BİR **SİSTEMDİR**, TESADÜF DEĞİL (ZORUNLU)
116	F03		4293	KAPI-KÖRLÜĞÜ **KORELASYONLU** OLABİLİR — kör nokta, tehdidin geliş yönüyle **A
117	F04		4322	BİR SELF-TEST, KAPININ **DAVRANIŞINI** DEĞİL **SÖZLEŞMESİNİ** SINAR (ZORUNLU)
118	F04		4349	BASELINE **ARTIŞININ REDDİ** BİR DESEN — *"artışta kod düzelir"* (ZORUNLU, iki
119	F10		4369	`done` DEĞİLİN İKİ SİMETRİK YÜZÜ — ve **İKİSİ DE ADRESLİ** (ZORUNLU)
120	F05		4396	BİR GEREKÇE, DAYANDIĞI **ÖLÇÜMÜN TARİHİYLE** YAŞAR (ZORUNLU)
121	F04		4425	BİR KAPININ KÖR NOKTASI, **KOMŞU KAPININ GÖREV TANIMIDIR** — ta ki yazılana ka
122	F10		4440	KARAR **ÖNCE İNER**, UYGULAMA SONRA BAŞLAR (ZORUNLU)
123	F01		4459	ÜRETKEN-GENELLEME ≠ DOĞRU-USÜL (ZORUNLU)
124	F02		4478	ÖLÇEN ŞEYİN EVRENİ, **ÖLÇÜLEN ŞEYİN YETKİSİNDEN GENİŞ** OLMALI (ZORUNLU)
125	F07		4506	ÖLÇÜM KOLAYLIĞI İÇİN **ÜRETİM YETKİSİ GENİŞLETİLMEZ** (ZORUNLU)
126	F11		4521	`"FLAKY"` DEMEDEN ÖNCE **TAKVİM DESENİNE** BAK (ZORUNLU)
127	F10		4547	BELGELENMİŞ BİR KUSUR, YENİ BİR KUSURUN **TEŞHİS HIZLANDIRICISIDIR** (ZORUNLU 
128	F09		4572	BİR AJAN KOŞARKEN, AĞAÇ **HAREKET HÂLİNDEDİR** — Team Lead ölçümü GEÇERSİZDİR 
129	F04		4610	MUTASYONUN İKİ TÜRÜ: **VARLIK** ve **YERLEŞİM** (ZORUNLU)
130	F01		4645	ÖLÇÜM **FAZ TAŞIR** — bir sayının doğruluğu YETMEZ (ZORUNLU)
131	F01		4685	BİR DELTA'NIN **YÖNÜ** TEŞHİSTİR (ZORUNLU)
132	F02		4726	EVREN, DEĞİŞKENİN **GEÇTİĞİ YERLERDEN** TÜRETİLİR — desen taraması `PASS-OUT`'
133	F03		4757	FIXTURE FARKI **GEREKLİ**, onu OKUYAN ASSERTION olmadan **YETERSİZ** (ZORUNLU)
134	F02		4797	İLK TARAMA **HER ZAMAN** CASE-INSENSITIVE (ZORUNLU — varsayılan değişikliği)
135	F06		4826	BİR LİSTEDEN DÜŞEN KAVRAM **YOK OLMAZ** — BAŞKA BİR ADIN ÜSTÜNE OTURUR (ZORUNL
136	F01		4866	SAPMALARIN **YÖNÜ** RASTGELE DEĞİLSE, SİSTEMATİK BİR BASINÇ VAR DEMEKTİR (ZORU
137	F01		4896	BİR BAŞLIK SAYISI, LİSTESİNDEN TÜRETİLMEMİŞSE **VERİ DEĞİLDİR** (ZORUNLU)
138	F03		4932	**DENETLENEN DİZGE = DEĞERLENDİRİLEN DİZGE** (ZORUNLU — `§2.7`'nin en sıkı hâl
139	F08		4955	BİR DÜZELTME, EN SİNSİ HÂLİNDE **DÜRÜST-`null`'UN YERİNE KISMİ-DOĞRU-SAYI KOYA
140	F11		4977	**RANDEVU-PİNİ**: BUGÜNÜ PİNLE, YARINI İŞARETLE (ZORUNLU — ve `T-084`'ün ÇÖZÜL
141	F05		5009	BİR HÜKMÜN GEREKÇESİ, ALTINDAKİ MEKANİZMA DEĞİŞİNCE **TAŞINMAZ — YENİDEN KURUL
142	F13		5035	⭐ HAYATTA KALMA HİYERARŞİSİ: **RAPOR < BELGE < KAPI < PİN** (ZORUNLU)
143	F05		5063	GEREKÇE-ÇÜRÜMESİ, STATÜ-ÇÜRÜMESİNDEN **TEHLİKELİDİR** (ZORUNLU)
144	F12		5078	SEÇİCİ `git add`, **SEÇİCİ COMMIT DEMEK DEĞİLDİR** (ZORUNLU)
145	F02		5107	YANLIŞ ÖNCÜL, **DOĞRU TARAMAYI YANLIŞ EKSENE KİLİTLER** (ZORUNLU)
146	F10		5131	UYARININ YERİNE **SESSİZLİK DEĞİL, KARŞI YÖNDE GÜVENCE** (ZORUNLU)
147	F00		5154	⭐ KAPI, KAPIYI YAZAN TURU DURDURUR — **ARTIK BİR DESEN** (ZORUNLU)
148	F02		5169	BİR ALANI **TAŞIYICI OLARAK** KULLANAN KOD, TÜKETİCİ ARAMASINDA **BULUNMAZ** (
149	F05		5202	GEREKÇENİN **ÇÜRÜMESİ** İLE **KARŞILANMASI** AYRI SINIFTIR (ZORUNLU)
150	F03		5236	ÖLÜ BİR YOLU PİNLEMEK, ONU **CANLI SANMAYA** YOL AÇAR (ZORUNLU — `T-084`'ün TE
151	F05		5257	VERİYE DAYALI HER ERTELEME, VERİNİN DEĞİŞTİĞİ GÜN **YENİDEN ÖLÇÜLÜR** (ZORUNLU
152	F10		5281	BİR **COMMIT MESAJI** DA BİR NİYET BEYANIDIR (ZORUNLU — ve bir ÖLÇÜM EKSENİ çü
153	F08		5310	`0` MEŞRU BİR DEĞER OLSAYDI, **VERİDE EN AZ BİR TANE OLURDU** (ZORUNLU)
154	F03		5343	ÜÇÜNCÜ EKSEN: **DENETLENEN ≠ OKUNAN** (ZORUNLU)
155	F01		5372	BİR **ÖNERİ** DE, BİR BULGU GİBİ, DOĞRULANMADAN ARAÇ SEÇİMİNE DÖNÜŞMEZ (ZORUNL
156	F02		5396	ÖNCÜL PROPAGASYONU — **ÜÇ VAKA, VE İKİSİ AYNI TAŞIYICIDAN** (ZORUNLU)
157	F10		5424	KENDİ DÜZELTMESİNİ TAŞIYAN BELGE, ERKEN DURAN OKUYUCUYU **HÂLÂ** YANILTIR (ZOR
158	F08		5461	ÜÇÜNCÜ KASKAD — *"VARSAYILAN + İSTİSNA"* BİR MİMARİDİR, TESADÜF DEĞİL (ZORUNLU
159	F08		5476	Kaskadın ZORUNLU dört parçası
160	F10		5503	BİR SORU LİSTESİ, ÖLÇÜMLE TAZELENEN BİR BELGEDİR (ZORUNLU)
161	F08		5526	`NULL` BİR ENUM DEĞERİ DEĞİL, **ÜÇÜNCÜ BİR DURUMDUR** (ZORUNLU)
162	F01		5561	BİR SAYIM FARKI **BİRİMDEN** DE GELEBİLİR (ZORUNLU — sayım-farkı kuralına ek)
163	F05		5591	HÜKÜM YAZIM FORMATI: **TAŞIYICI** ve **DESTEKLEYİCİ** DAYANAK AYRI SATIRDIR (Z
164	F09		5628	PARALELLİK, ÖLÇÜMÜN KENDİSİNİ BOZAR — **İKİ KATMAN** (ZORUNLU)
165	F10		5660	`F12`'NİN SINIRI: **KAPANMIŞ RANDEVUNUN İZİ, "KAPANDI" DAMGASIYLA KORUNUR** (Z
166	F01		5685	MEKANİZMA MI BOZUK, YOL MU ATLIYOR — **İKİ AYRI DENEY** (ZORUNLU)
167	F03		5704	ÜÇ İHLAL TEK TURDA — VE ÜÇÜ DE **AYNI YÖNE** YANILDI (ZORUNLU)
168	F04		5735	BİR KAPIYI KOŞMAMAK, ONU YOK SAYMAKTIR — VE HATAYI BİR SONRAKİ TUR BULUR (ZORU
169	F00		5776	ÜÇÜNCÜ İHLAL **YERLEŞİM KUSURUDUR** (ZORUNLU — kuralların terfi eşiği)
170	F04		5808	ÖNCE BORÇ, SONRA KAPI — **KIRMIZI DOĞAN KAPI ÖLÜR** (ZORUNLU)
171	F04		5826	TEMİZ DOĞAN KAPI BİR BAŞARI DEĞİL, BİR **ŞÜPHE** SEBEBİDİR (ZORUNLU)
172	F04		5864	YENİ KAPI, **BİLİNEN BİR KIRMIZIYI GÖRMEDEN** *"ÇALIŞIYOR"* İLAN EDİLMEZ (ZORU
173	F04		5892	BİR BEYAN ÜÇ DEĞER TAŞIR: **YEŞİL · KIRMIZI · KOŞULMADI** (ZORUNLU)
174	F04		5919	KAPI DOĞUM KURALI: **BİLİNEN-YEŞİL *VE* BİLİNEN-KIRMIZI** (ZORUNLU)
175	F07		5955	ŞEMA KATMANINDA **SAHTE GÜVENLİK SİNYALİ** (ZORUNLU)
176	F03		5976	KURULUM, ÖLÇMEK İSTEDİĞİ DURUMU **HİÇ KURAMIYORSA** TEST YİNE YEŞİLDİR (ZORUNL
177	F10		6019	UYARI **KOMŞU DOSYADA YAZILIYDI** — VE YİNE OKUNMADI (ZORUNLU)
178	F02		6048	BİR YETENEĞE ROL EKLEMEDEN ÖNCE **HÜCRENİN UÇ LİSTESİ** OKUNUR (ZORUNLU — hükü
179	F00		6084	KAPI, **HÜKMÜ VEREN TURU** DA DURDURUR — DESENİN ÜÇÜNCÜ KANADI (ZORUNLU)
180	F06		6105	HÜKÜM BİR **ADI** DEĞİL, ADIN TAŞIDIĞI **LİSTEYİ** KARARA BAĞLAR (ZORUNLU — hü
181	F07		6142	HER `CHECK`'İN NEGATİF KONTROLÜNDE BİR **`NULL` GİRDİ** VAKASI ZORUNLUDUR (ZOR
182	F07		6179	`CHECK` **KODDAN** KURULUR, **SİMETRİDEN** DEĞİL (ZORUNLU)
183	F10		6205	`[ÖLÇÜLDÜ]` DAMGASI **BOŞLUK İDDİASI** İÇİN DE GEREKİR (ZORUNLU — hüküm/brief 
184	F10		6235	BRIEF'E YAZILAN HER **KİMLİK** KAYNAĞINDAN **KOPYALANIR**, HATIRLANMAZ (ZORUNL
185	F05		6256	ÖLÇÜLEMEYEN BİR KISMI OLAN HÜKÜM, ONU **BİR ŞART** OLARAK YAZAR (ZORUNLU — hük
186	F07		6287	BİR ENUM ÜYESİ EKLEYEN TUR, ÜRETİCİSİNİ AYNI TURDA BAĞLAR (ZORUNLU)
187	F12		6326	BİR ÜYELİK SORUSU `in` İLE SORULMAZ (ZORUNLU)
188	F14		6352	*"KAYNAK BEYAN EDİYOR, ORTAM UYGULAMADI"* — YENİ KÖRLÜK SINIFI (ZORUNLU)
189	F09		6392	BİR AJAN RAPORU DA BİR İDDİADIR — HAKEMLİK ÖLÇÜMLE (ZORUNLU)
190	F05		6412	BİR HALKAYI KAPATMAK, BORCU BİR SONRAKİNE TAŞIYABİLİR (ZORUNLU)
191	F01		6440	SINIRLAR ÇATIŞMAZ, ÖRTÜŞMEZ — ÖNCE OLGULARI AYIR (ZORUNLU)
192	F03		6467	BİR PİN, KORUDUĞU KURALIN İKİNCİ BİR SEVİYEDE YENİDEN UYGULANMASINI GÖRMEZ (ZO
193	F08		6522	BİR TOPLAMIN SIFIRI, BİLEŞENLERİN YOKLUĞU DEĞİLDİR (ZORUNLU — `§2.5`'in AGREGA
194	F04		6549	BİR KAYNAK SESSİZCE BOŞALIRSA, FARK KÜMESİ DE BOŞ KALIR (ZORUNLU — kapı tasarı
195	F04		6583	SİNYAL RASTGELEYSE DE SİNYAL DEĞİLDİR (ZORUNLU)
196	F00		6612	BİR KAPANIŞ BEYANI, KAPSAMADIĞINI **YAZMADAN** VERİLEMEZ (ZORUNLU)
197	F12		6648	`grep -c` SIFIR BULUNCA **exit 1** VERİR — `|| echo 0` BİR SAYIYI BOZAR (ZORUN
198	F04		6673	GÖRÜNÜR + GEREKÇELİ BİR YANLIŞ POZİTİF, GÖRÜNMEZ BİR MUAFİYETTEN İYİDİR (ZORUN
199	F04		6698	BİLİNEN-KIRMIZI **CANLI ZİNCİRDE** ÜRETİLEBİLİYORSA, EN GÜÇLÜ DOĞUM KANITI ODU
200	F03		6731	BİR İNVARYANT BOŞ KÜMEDE SAĞLANIYORSA, HİÇ ÖLÇÜLMEMİŞTİR (ZORUNLU)
201	F09		6759	KANIT KURULUMU ÖLÇÜMÜ BOZMASIN — AJAN TARAFI, ADIYLA (ZORUNLU)
202	F10		6780	BRIEF, BİR KAPININ ÖNCEDEN BİLİNEN SINIRINI TAŞIR — AJAN ONU KOŞUMDA ÖĞRENMEME
203	F06		6806	BİR AD, **KAYNAĞI** HAKKINDA DA YANLIŞ SÖYLEYEBİLİR (ZORUNLU — *"ad ≠ sınıf"*ı
204	F11		6834	TARİH/DÖNEM FİLTRELİ NEGATİF SONUÇLAR ÖZELLİKLE ŞÜPHELİDİR (ZORUNLU)
205	F01		6860	SAYI YAZMA, **LİSTE** YAZ — ONUNCU VAKA, VE YAZANLAR İKİMİZDİK (ZORUNLU)
206	F07		6881	`ASSERT` TAŞIYAN MIGRATION ÜÇ DURUMU AYIRT EDER — **VERİ SİLEN MIGRATION DÖRDÜ
207	F09		6901	BİRLEŞME ANI: TAM E2E TEK BAŞINA YETMEZ — **ŞEMA ↔ ENTITY METADATA** DA ÖLÇÜLÜ
208	F05		6925	HÜKÜM BEKLERKEN: ÜÇÜNCÜ YOL — **DİZİNİN KORUYUCU SEÇENEĞİYLE İNDİR** (ZORUNLU)
209	F02		6961	Bir LİSTE vermek, EVRENİ tanımlamak değildir (ZORUNLU)
210	F01		6997	YANLIŞ BİR KAPANIŞ, ARAMAYI DURDURUR — bir hata en azından kendini gösterir (Z
211	F10		7019	Konuşmada verilen bir HÜKÜM, BELGEYE geçmediyse DALGAYI GEÇMEZ (ZORUNLU)
212	F11		7080	SEED bir DEMO'dur, FIXTURE bir SÖZLEŞMEDİR — e2e seed'in VERİ KARARINA bağlanm
213	F10		7142	Brief'te her İDDİA bir ETİKET taşır — etiketsiz iddia = **DUR** (ZORUNLU)
214	F11		7182	SEED GÖRELİDİR, FIXTURE SABİTTİR — ikisi ZIT yöne gider (ZORUNLU)
215	F08		7224	Bir YÖNLENDİRME sessiz olamaz — ölçüm, NEYİ ölçtüğünü söylemeli (ZORUNLU)
216	F05		7255	Bir DOSYA YOLU da bir iddiadır — ve BAYATLAR (ZORUNLU)
217	F05		7276	TAŞIYICI çürüyünce hüküm DARALMAZ, DÜŞER — ve süzgeç sorusu (ZORUNLU)
218	F04		7307	`npm run guards` KAPININ TAMAMI DEĞİLDİR — **İKİ ZİNCİR VAR** (ZORUNLU)
